DateTime,Entries,UniqueIPs
1512769677,651,651
1512856827,724,724
1512944197,745,745
1513031312,778,778
1513118452,803,803
1513205553,824,824
1513292929,883,883
1513380030,898,898
1513467164,935,935
1513554274,1163,1163
1513728514,1175,1175
1513815609,1263,1263
1513903007,1328,1328
1514077487,1385,1385
1514339099,1453,1453
1514775479,1498,1498
1514862610,1503,1503
1514949735,1521,1521
1515123938,1572,1572
1515298459,1628,1628
1515472933,1684,1684
1515560280,1688,1688
1515778101,1679,1679
1516039724,1709,1709
1516126822,1705,1705
1516301332,1730,1730
1516475787,1785,1785
1516824281,1777,1777
1517085851,1841,1841
1517173269,1902,1902
1517347460,1927,1927
1517434833,1960,1960
1517521930,1960,1960
1517609072,1963,1963
1517783317,1984,1984
1517957794,2065,2065
