DateTime,AddedIPs,RemovedIPs
1513312662,0,2
1513316528,1,2
1513320360,3,8
1513324190,0,2
1513328024,0,1
1513331861,0,1
1513339548,0,4
1513347737,1,8
1513355478,1,0
1513363123,0,1
1513366938,1,1
1513370767,0,1
1513375169,1,0
1513382745,0,6
1513390671,0,2
1513394790,4,2
1513398600,0,1
1513406314,0,5
1513410358,0,1
1513414200,0,5
1513418042,0,1
1513421875,0,5
1513437453,3,6
1513441400,1,0
1513449030,1,3
1513460514,2,5
1513468202,0,2
1513472030,0,1
1513479956,2,6
1513483819,1,1
1513495315,1,4
1513506844,1,6
1513514496,0,2
1513518316,0,2
1513522423,0,1
1513526232,0,2
1513529938,1,1
1513537852,1,0
1513545501,0,1
1513549192,1,1
1513564496,2,4
1513568314,0,1
1513572156,0,1
1513587520,1,2
1513595195,0,2
1513602900,3,0
1513614630,1,0
1513626367,3,1
1513653304,1,1
1513680371,0,8
1513688059,1,1
1513691917,1,0
1513699841,3,3
1513703657,1,0
1513707528,1,0
1513715460,0,1
1513719259,0,1
1513731052,0,1
1513734859,0,3
1513738737,1,0
1513750229,2,1
1513762006,1,0
1513770170,2,0
1513781650,1,0
1513800813,4,3
1513816960,0,1
1513820750,1,2
1513824596,1,0
1513828461,1,2
1513836209,0,1
1513839985,0,3
1513851564,1,0
1513863791,1,1
1513867873,0,1
1513887531,6,1
1513895435,1,0
1513906955,0,1
1513910815,0,2
1513918481,1,0
1513922346,3,0
1513930280,1,1
1513945819,0,2
1513949763,2,3
1513968882,1,0
1513972739,1,0
1513976637,1,0
1513984336,2,0
1513988113,1,0
1513995746,0,1
1514011116,1,0
1514014926,1,0
1514018796,1,0
1514022611,1,0
1514030339,1,2
1514042052,2,9
1514061535,1,0
1514077096,4,0
1514084775,1,1
1514096297,3,2
1514112144,1,1
1514119799,2,3
1514142883,1,0
1514159197,1,1
1514167046,2,1
1514174769,2,1
1514186368,0,1
1514194007,1,1
1514214371,2,1
1514226190,2,0
1514233817,0,1
1514253247,0,1
1514272553,1,1
1514284051,1,1
1514291951,1,0
1514295842,1,0
1514303398,0,2
1514318623,2,1
1514330353,0,1
1514338218,0,1
1514342079,0,1
1514349783,1,2
1514357425,1,0
1514373064,3,1
1514381292,2,1
1514393255,0,2
1514405720,4,1
1514432769,2,1
1514444389,4,2
1514451977,2,3
1514475503,1,0
1514479577,1,0
1514483449,2,0
1514491099,1,3
1514502686,0,1
1514506713,2,0
1514514346,0,1
1514525930,2,3
1514530065,0,1
1514541840,0,2
1514549640,1,2
1514553545,2,0
1514568957,1,1
1514572712,1,2
1514576431,3,0
1514596057,2,1
1514600117,1,0
1514611611,1,1
1514615534,0,1
1514619421,0,1
1514626974,2,0
1514634687,1,1
1514642330,2,0
1514666129,1,0
1514685515,2,1
1514689466,1,0
1514700972,4,2
1514708831,1,4
1514720401,0,2
1514724119,1,0
1514731859,1,1
1514739557,0,2
1514747314,2,0
1514751041,1,1
1514774993,0,1
1514798442,0,2
1514802268,0,1
1514806046,0,1
1514825731,1,3
1514829612,1,0
1514852871,2,0
1514860985,1,0
1514864786,1,2
1514868701,1,1
1514876723,2,0
1514884858,1,2
1514888924,1,1
1514896855,1,0
1514904564,0,6
1514912489,0,1
1514928544,0,1
1514940066,1,0
1514955673,1,1
1514963341,0,1
1514978734,3,2
1514982511,1,0
1514990422,1,1
1515006279,4,0
1515010142,1,0
1515013949,1,0
1515026714,2,0
1515035119,0,1
1515043004,1,1
1515046830,1,4
1515050668,1,1
1515054515,1,3
1515066772,1,0
1515070610,0,1
1515082174,1,0
1515086455,1,0
1515090517,4,0
1515094381,4,0
1515106120,0,1
1515113833,0,1
1515117651,1,0
1515121512,1,1
1515125334,2,3
1515129165,0,1
1515132990,0,2
1515136839,2,1
1515144516,0,1
1515156069,1,1
1515167576,1,2
1515175296,1,0
1515179111,0,3
1515182945,1,2
1515186813,0,3
1515190626,1,1
1515199014,1,0
1515214624,0,1
1515218462,1,0
1515222294,1,2
1515233825,0,1
1515237676,0,1
1515241520,0,1
1515257409,0,1
1515261187,0,3
1515272700,1,0
1515291912,0,1
1515296012,1,2
1515308011,2,0
1515319525,1,0
1515327294,2,2
1515338708,1,1
1515342531,2,0
1515350246,0,5
1515354069,2,0
1515357894,1,0
1515400154,1,0
1515408079,2,1
1515415756,0,1
1515423431,0,1
1515427269,1,2
1515443119,0,1
1515454870,1,0
1515463022,2,0
1515470966,1,0
1515475045,0,1
1515479108,1,0
1515482941,2,1
1515486796,1,1
1515490645,1,0
1515518023,1,2
1515526103,2,1
1515534044,1,1
1515537890,0,2
1515541743,0,1
1515549421,1,0
1515553233,1,0
1515557323,2,1
1515568858,1,0
1515572687,0,1
1515576527,2,0
1515584922,2,2
1515592899,1,0
1515600559,1,2
1515608261,0,2
1515612341,1,0
1515639719,1,0
1515643518,1,1
1515659616,1,1
1515663678,1,1
1515679307,1,0
1515687197,1,2
1515691064,2,0
1515694865,1,0
1515698718,2,1
1515702555,1,0
1515750244,3,6
1515769726,0,2
1515816028,1,2
1515827770,0,1
1515831805,0,1
1515851334,2,0
1515859079,1,0
1515863161,1,0
1515867228,1,0
1515875096,1,0
1515902063,1,1
1515909670,1,0
1515913663,1,1
1515917606,0,1
1515925328,1,0
1515929095,0,1
1515948281,1,1
1515952158,1,0
1515975497,1,0
1515979318,1,0
1515983452,1,0
1515991134,0,1
1516030286,0,4
1516034041,0,2
1516037949,1,1
1516041786,0,1
1516170702,12,9
1516178775,0,1
1516190760,4,0
1516194814,1,1
1516198695,1,2
1516210147,0,1
1516214019,1,1
1516217887,3,0
1516225555,1,0
1516229646,0,1
1516233470,0,1
1516241117,1,0
1516252943,0,2
1516268470,1,4
1516272754,0,1
1516276918,1,1
1516284782,1,0
1516328209,2,1
1516332378,0,1
1516347917,2,0
1516359461,1,3
1516371472,2,2
1516390903,2,3
1516410619,1,1
1516418301,0,1
1516422346,1,1
1516437955,1,0
1516445665,1,2
1516449730,1,0
1516469097,0,103
1516472914,1,0
1516476754,2,0
1516484424,2,0
1516499780,1,0
1516503657,1,0
1516511331,1,0
1516515192,1,0
1516519078,1,0
1516522830,1,0
1516530772,2,0
1516538432,1,0
1516561731,1,0
1516573267,1,0
1516585468,1,0
1516593156,1,0
1516600826,1,0
1516608516,2,0
1516616175,1,0
1516620031,2,0
1516631565,2,0
1516647163,1,0
1516650999,1,0
1516662495,2,0
1516670443,2,0
1516674279,1,0
1516678108,1,0
1516681963,2,0
1516685806,3,0
1516693333,3,0
1516697075,1,0
1516712684,1,0
1516732370,1,0
1516736216,2,0
1516743891,1,0
1516755643,1,0
1516767173,2,0
1516771002,1,0
1516782511,1,0
1516786591,1,0
1516790447,1,0
1516794289,1,0
1516798110,2,0
1516802211,1,0
1516809874,1,0
1516825480,1,0
1516833173,1,0
1516839164,1,0
1516850694,1,0
1516858357,1,0
1516866039,1,0
1516869879,1,0
1516873714,1,0
1516881401,1,0
1516885252,2,0
1516889083,2,0
1516908271,2,0
1516946922,1,0
1516954698,2,0
1516969960,3,0
1516985321,1,0
1516993106,1,0
1516996892,2,0
1517024014,1,0
1517027843,1,0
1517035532,1,0
1517043219,1,0
1517062872,1,0
1517066954,2,0
1517082834,1,0
1517086633,1,0
1517113790,1,0
1517132948,1,0
1517144501,1,0
1517148483,1,0
1517163658,1,0
1517171343,1,0
1517182930,1,0
1517263750,1,0
1517267570,1,0
1517279079,1,0
1517306314,1,0
1517325927,0,2
1517341497,2,1
1517357070,0,1
1517365005,2,1
1517368844,0,2
1517376536,1,0
1517384234,0,1
1517388024,0,1
1517395707,2,0
1517399621,2,0
1517403429,1,1
1517407282,1,0
1517411352,1,0
1517415182,2,2
1517419078,0,1
1517426700,4,0
1517442057,1,0
1517453606,1,2
1517457451,0,1
1517465116,0,2
1517472794,1,0
1517533748,1,0
1517537575,2,0
1517541437,1,0
1517545255,1,1
1517549098,0,1
1517556814,3,2
1517560634,1,1
1517565421,1,0
1517576953,1,0
1517584622,0,2
1517592320,1,0
1517603828,0,1
1517631469,1,0
1517654547,0,1
1517658589,1,0
1517670388,1,1
1517678262,1,0
1517685996,0,2
1517693618,2,1
1517701666,1,0
1517713529,2,1
1517721192,2,0
1517728904,0,1
1517732964,0,1
1517740754,0,1
1517748333,0,1
1517756247,0,1
1517768047,1,1
1517775936,2,2
1517779810,1,1
1517783584,0,1
1517787518,0,1
1517798985,1,0
1517814386,1,0
1517818238,1,0
1517821998,1,4
1517829728,0,1
1517841238,1,1
1517852680,2,1
1517864252,3,2
1517868105,0,1
1517872175,1,0
1517876013,1,0
1517883709,1,0
1517887520,1,2
1517891334,0,2
1517895252,1,5
1517899056,0,2
1517902860,0,1
1517906680,0,2
1517918213,1,1
1517925924,0,2
1517933608,0,1
1517937579,1,0
1517941493,0,1
1517945329,1,0
1517949171,1,0
1517953005,2,0
1517964557,4,1
1517968390,0,1
1517972242,0,1
1517979904,2,0
1517983772,1,0
1517987571,1,0
1517999089,1,1
